|   time   | reset | clock0  |startClock |anyByteCloc|stateRegister| byte |byte0State |byte1State | byteDone  |byteDoneSig| beginAck  |anyAckState|  ackDone  |ackDoneSign|  sdaByte  |  sclByte  | sdaAck  | sclAck  |
| 3464     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3465     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3527     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3528     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3589     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3590     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3652     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3653     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3715     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3716     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3778     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3779     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3841     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3842     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3904     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3905     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3967     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3968     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 4030     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 4031     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 4093     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4094     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4156     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 4157     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 4219     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 4220     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 4282     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4283     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4345     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4346     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4408     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 4409     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 4471     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 4472     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 4534     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4535     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4597     |   0   |    0    |     0     |     0     |   0100000   |  3c  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    0    |
| 4598     |   0   |    0    |     0     |     0     |   0100000   |  3c  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    0    |
| 4660     |   0   |    1    |     0     |     0     |   0100000   |  3c  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    1    |
| 4661     |   0   |    1    |     0     |     0     |   0100000   |  3c  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    1    |
| 4723     |   0   |    0    |     0     |     0     |   0100000   |  3c  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    1    |
| 4724     |   0   |    0    |     0     |     0     |   0100000   |  3c  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    1    |
| 4786     |   0   |    1    |     0     |     0     |   0100000   |  3c  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    0    |
| 4787     |   0   |    1    |     0     |     0     |   0100000   |  3c  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    0    |
| 4849     |   0   |    0    |     0     |     0     |   0000000   |  3c  |     0     |     0     |     1     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4850     |   0   |    0    |     0     |     0     |   0000000   |  3c  |     0     |     0     |     1     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4912     |   0   |    1    |     0     |     0     |   0000000   |  3c  |     0     |     0     |     1     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 4913     |   0   |    1    |     0     |     0     |   0000000   |  3c  |     0     |     0     |     1     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
